문장,대분류,중분류,소분류
아주 멋지게,긍정,,
아주 못된,부정,,
아주 밝고,긍정,,
아주 방정맞게,부정,,
아주 보잘것없다,부정,,
아주 보잘것없음,부정,,
아주 부드럽고,긍정,,
아주 쉽다,긍정,,
아주 시원스럽게,긍정,,
아주 심하게,부정,,
아주 심한,부정,,
아주 알맞게,긍정,,
아주 야단스럽고,부정,,
아주 야무지고,긍정,,
아주 어리석고,부정,,
아주 예사롭게,긍정,,
아주 온전한,긍정,,
아주 요긴한,긍정,,
아주 요란스럽게,부정,,
아주 잘되다,긍정,,
아주 잘됨,긍정,,
아주 저버리다,부정,,
아주 적절하게,긍정,,
아주 적절한,긍정,,
아주 좋고,긍정,,
아주 좋아서,긍정,,
아주 좋은,긍정,,
아주 즐겁고,긍정,,
아주 지겹도록,부정,,
아주 치사하고,부정,,
아주 친하게,긍정,,
아주 친하다,긍정,,
아주 탐스러울,긍정,,
아주 튼튼하다,긍정,,
아주 화목하고,긍정,,
아찔하다,부정,,
아찔하여지다,부정,,
아첨을,부정,,
아첨을 떠는,부정,,
아첨을 떨다,부정,,
아첨을 하며,부정,,
아첨하고,부정,,
아첨하는,부정,,
아첨하는 데가,부정,,
아첨하는 모양,부정,,
아첨하다,부정,,
아첨하여,부정,,
아첨하여 따르고,부정,,
아첨함을,부정,,
아파,부정,,
아파 오다,부정,,
아파서,부정,,
아파서 애달프게,부정,,
아파서 얄미울,부정,,
아파서 자꾸,부정,,
아파하는,부정,,
아파하는 일,부정,,
아파하는 증상,부정,,
아파하다,부정,,
아프거나,부정,,
아프거나 무서워서,부정,,
아프게,부정,,
아프게 느껴지다,부정,,
아프게 되는,부정,,
아프게 되다,부정,,
아프게 치다,부정,,
아프고,부정,,
아프고 가엽다,부정,,
아프고 괴롭게,부정,,
아프고 괴롭다,부정,,
아프고 답답하게,부정,,
아프고 답답하다,부정,,
아프고 메스꺼워,부정,,
아프다,부정,,
아프며,부정,,
아프며 약하면,부정,,
아프면서,부정,,
아픈,부정,,
아픈 경우를,부정,,
아픈 느낌,부정,,
아픈 느낌이,부정,,
아픈 데가,부정,,
아픈 듯하면서도,부정,,
아픈 듯한,부정,,
아픈 모양,부정,,
아픈 병,부정,,
아픈 병증,부정,,
아픈 임질,부정,,
아픈 증상,부정,,
아픈 증상이,부정,,
아픈 증세에,부정,,
아플,부정,,
아플 만큼,부정,,
아픔,부정,,
아픔을,부정,,
아픔을 느끼다,부정,,
아픔을 호소하는,부정,,
악당,부정,,
악독하게,부정,,
악독한,부정,,
악독한 방법으로,부정,,
악독한 사람을,부정,,
악마,부정,,
악마에,부정,,
악마에 비유하여,부정,,
악명 높은,부정,,
악명높은,부정,,
악몽,부정,,
악성,부정,,
악순환,부정,,
악업,부정,,
악업을,부정,,
악에,부정,,
악에 받쳐서,부정,,
악연,부정,,
악을 쓰고,부정,,
악의,부정,,
악의의,부정,,
악의적,부정,,
악의적인,부정,,
악인연,부정,,
악지를,부정,,
악지를 부려,부정,,
악취,부정,,
악플,부정,,
악하고,부정,,
악하고 모질게,부정,,
악하고 모질다,부정,,
악하고 모짊,부정,,
악하다,부정,,
악한,부정,,
악한 마음을,부정,,
악한 짓을,부정,,
악한 첩,부정,,
악화되다,부정,,
안 되거나,부정,,
안 되어,부정,,
안 좋은,부정,,
안구 정화,긍정,,
안구 테러,부정,,
안궁,부정,,
안달,부정,,
안달복달,부정,,
안달복달하다,부정,,
안달이 나서,부정,,
안도,긍정,,
안도감,긍정,,
안도하다,긍정,,
안되고 애처롭게,부정,,
안락,긍정,,
안락하게,긍정,,
안락하게 지내는,긍정,,
안락하게 지내도록,긍정,,
안락하다,긍정,,
안목,긍정,,
안물,부정,,
안색이 흙빛과,부정,,
안습,부정,,
안심,긍정,,
안심감,긍정,,
안심이,긍정,,
안심이 되는,긍정,,
안심찮다,부정,,
안심하다,긍정,,
안쓰러워하다,부정,,
안쓰럽다,부정,,
안에서 비정상적으로,부정,,
안장서 죽기만을,부정,,
안전,긍정,,
안전하다,긍정,,
안전하지 못한,부정,,
안전한,긍정,,
안전함,긍정,,
안절부절,부정,,
안절부절못하는,부정,,
안절부절못하다,부정,,
안절부절하다,부정,,
안정,긍정,,
안정감이 없는,부정,,
안정감이 없다,부정,,
안정되게,긍정,,
안정되게 하다,긍정,,
안정되지 못하고,부정,,
안정되지 못하여,부정,,
안정되지 못한,부정,,
안정되지 아니함,부정,,
안정을 찾은,긍정,,
안정한,긍정,,
안정한 곳이라는,긍정,,
안존하다,긍정,,
안좋은 상황,부정,,
안처하다,긍정,,
안타까울,부정,,
안타까울 정도로,부정,,
안타까워,부정,,
안타까워서,부정,,
안타까워하는,부정,,
안타까워하는 모양,부정,,
안타까워하다,부정,,
안타깝거나,부정,,
안타깝거나 쓰라리다,부정,,
안타깝게,부정,,
안타깝게 뉘우쳐져,부정,,
안타깝게 다가오는,부정,,
안타깝게 애쓰며,부정,,
안타깝게 여기다,부정,,
안타깝게 자꾸,부정,,
안타깝게 죄이거나,부정,,
안타깝게 타는,부정,,
안타깝게 타다,부정,,
안타깝게 타들어,부정,,
안타깝고,부정,,
안타깝고 만족스럽지,부정,,
안타깝다,부정,,
않고 대충대충,부정,,
않고 올바르다,긍정,,
않고 좀스럽게,부정,,
않아 느슨하다,부정,,
않아 싱겁게,부정,,
않아 언짢은,부정,,
않으나 쓰리다,부정,,
알기 쉽게,긍정,,
알기 어렵다,부정,,
알리지 않거나,부정,,
알맞게,긍정,,
알맞게 내리는,긍정,,
알맞게 노르스름하게,긍정,,
알맞게 노르스름하다,긍정,,
알맞게 높다,긍정,,
알맞게 높아,긍정,,
알맞게 되다,긍정,,
알맞게 두껍게,긍정,,
알맞게 따뜻하다,긍정,,
알맞게 뜨뜻하다,긍정,,
알맞게 서늘하게,긍정,,
알맞게 작으면서도,긍정,,
알맞다,긍정,,
알못,부정,,
알아듣기 어려울,부정,,
알아듣지 못하도록,부정,,
알아듣지 못한,부정,,
알아듣지 못할,부정,,
알아들을 수 없는,부정,,
알아서 깨달음,긍정,,
알아서 스스로,긍정,,
알아차리지 못하다,부정,,
알알한,부정,,
알알한 듯하다,부정,,
알알한 모양,부정,,
알지 못하는,부정,,
알지 못하여,부정,,
알지 못함을,부정,,
알짝지근하다,부정,,
알짤지근한,부정,,
알짤지근한 모양,부정,,
알차고,긍정,,
알차고 실하게,긍정,,
앍은 자국이,부정,,
앓거나,부정,,
앓거나 허약하여져서,부정,,
앓고,부정,,
앓고 난,부정,,
앓는,부정,,
앓는 결핵,부정,,
앓는 모양,부정,,
앓는 병,부정,,
앓는 사람이,부정,,
앓는 상태에,부정,,
앓다,부정,,
앓아도,부정,,
앓아서,부정,,
앓을,부정,,
앓음,부정,,
암담한,부정,,
암담한 상태나,부정,,
암상스러운,부정,,
암상스러운 사람을,부정,,
암상스럽게,부정,,
암상스럽게 불평을,부정,,
암상스럽게 토달거리다,부정,,
암으로,부정,,
암으로 말미암아,부정,,
압도하다,긍정,,
압력을 가하여,부정,,
압박감을,부정,,
압박감을 주다,부정,,
압박하여,부정,,
압억되다,부정,,
앙 기모띠,긍정,,
앙갚음으로,부정,,
앙갚음하려고,부정,,
앙갚음하려고 하는,부정,,
앙갚음할,부정,,
앙갚음할 마음을,부정,,
앙칼지게,부정,,
앙큼하게,부정,,
앙큼하게 하다,부정,,
앙큼하다,중립,,
앞뒤 생각 없이,부정,,
앞뒤를 가리지 않고,부정,,
앞뒤를 고려하지 않고,부정,,
앞뒤를 헤아리지 아니하고,부정,,
앞뒤를 헤아리지 않고,부정,,
앞선 상태에,긍정,,
앞으로 나가지 못하고,부정,,
앞으로 나아가게,긍정,,
앞으로 나아가지 못하고,부정,,
앞으로 좋게,긍정,,
앞이 막막하게,부정,,
앞잡이,부정,,
앞잡이 노릇,부정,,
앞잡이 노릇을,부정,,
앞질러,긍정,,
앞질러 나서는,긍정,,
애가 쓰이다,부정,,
애가 자꾸 타는,부정,,
애가 자꾸 타다,부정,,
애가 타는,부정,,
애가 타다,부정,,
애가 타서,부정,,
애가 탐,부정,,
애교가 있어서,긍정,,
애달파하는,부정,,
애달파하는 일,부정,,
애달파하다,부정,,
애달프게,부정,,
애달프게 자꾸,부정,,
애달프게 짖는,부정,,
애달프다,부정,,
애도함,부정,,
애를 먹는,부정,,
애를 먹다,부정,,
애를 써,부정,,
애를 써서,부정,,
애를 쓰는,부정,,
애를 쓰다,부정,,
애를 태우다,부정,,
애석,부정,,
애석하다,부정,,
애쓰는,부정,,
애쓰는 모양,부정,,
애쓰다,부정,,
애옥살림하다,부정,,
애절한,부정,,
애절한 그리움,부정,,
애정,긍정,,
애정 어린,긍정,,
애정이나,긍정,,
애정이나 감정을,긍정,,
애지석지,긍정,,
애지석지하다,긍정,,
애지중지,긍정,,
애지중지하다,긍정,,
애착,긍정,,
애착하다,긍정,,
애처가,긍정,,
애처로이,부정,,
애처롭거나,부정,,
애처롭게,부정,,
애처롭고,부정,,
애처롭고 쓸쓸하다,부정,,
애처롭다,부정,,
애타는,부정,,
애타는 마음,부정,,
애타심,긍정,,
애타적,긍정,,
애탄,부정,,
애통,부정,,
애통하다,부정,,
애통할,부정,,
애통할 때,부정,,
애통히,부정,,
애틋하게,긍정,,
애틋하게 생각하고,긍정,,
야금야금 빼앗다,부정,,
야단스러워지는,부정,,
야단스러워지는 모양,부정,,
야단스럽게,부정,,
야단스럽게 떠들어,부정,,
야단스럽게 부르짖으며,부정,,
야단스럽게 울기도,부정,,
야단스럽고,부정,,
야단스럽고 부산하게,부정,,
야들야들하게,긍정,,
야들야들하게 보드랍고,긍정,,
야들야들한,긍정,,
야들야들한 느낌이,긍정,,
야멸치게,부정,,
야멸치게 말하다,부정,,
야멸치고,부정,,
야멸치고 인정이,부정,,
야무지게,긍정,,
야무지고,긍정,,
야무지고 굳세게,긍정,,
야무지고 튼튼하게,긍정,,
야무지다,긍정,,
야무지지 못하고,부정,,
야무지지 못하다,부정,,
야무지지 못하여,부정,,
야무지지 못한,부정,,
야무진,긍정,,
야무진 느낌을,긍정,,
야물다,긍정,,
야물지 못하고,부정,,
야박스럽다,부정,,
야박히,부정,,
야비하다,부정,,
야비한,부정,,
야살스러운,부정,,
야살스러운 데가,부정,,
야살스러움,부정,,
야살스럽게,부정,,
야살스럽게 웃는,부정,,
야속,부정,,
야속스럽다,부정,,
야속스레,부정,,
야속하게,부정,,
야속하게 여겨,부정,,
야속하게 여기는,부정,,
야속하다,부정,,
야속히,부정,,
야위거나,부정,,
야위거나 메말라,부정,,
야위고,부정,,
야위다,부정,,
야위어,부정,,
야윈,부정,,
야윈 데가,부정,,
야윈 모양,부정,,
야유할,부정,,
야유할 때,부정,,
야풍,부정,,
야필패,부정,,
약간 고까워하는,부정,,
약간 곯은,부정,,
약간 다급하게,부정,,
약간 머뭇거리다,부정,,
약간 쉰,부정,,
약간 시들어,부정,,
약간 움츠러드는,부정,,
약간 짓무르고,부정,,
약간 차갑게,부정,,
약빠르고,부정,,
약빠르고 밉다,부정,,
약빠르지,부정,,
약빠르지 못하다,부정,,
약삭빠르다,긍정,,
약속을 지키다,긍정,,
약속이 성립하다,긍정,,
약은 사람,부정,,
약을 올리거나,부정,,
약이 올라,부정,,
약점,부정,,
약점을,부정,,
약점을 잡아,부정,,
약탈하거나,부정,,
약탈하거나 노략질하는,부정,,
약탈하거나 노략질함을,부정,,
약하거나,부정,,
약하고,부정,,
약하다,부정,,
약하면,부정,,
약하면 피는,부정,,
약하여,부정,,
약하여서,부정,,
약하여져서,부정,,
약하여지는,부정,,
약하여지는 병,부정,,
약하여지는 증상,부정,,
약하여진 증상,부정,,
약한,부정,,
약한 상태에,부정,,
약한 자는,부정,,
약해져서,부정,,
약해지다,부정,,
약해진,부정,,
약해진 눈,부정,,
얄망궂고,부정,,
얄망궃고,부정,,
얄망궃고 능청스러운,부정,,
얄미운,부정,,
얄미운 데가,부정,,
얄미운 태도로,부정,,
얄미울,부정,,
얄미울 정도로,부정,,
얄밉게,부정,,
얄밉게 구는,부정,,
얄밉게 넘어다보는,부정,,
얄밉게 놀기만,부정,,
얄밉게 빈정거리며,부정,,
얄밉게 우는,부정,,
얄밉게 이죽이죽하면서,부정,,
얄밉게 흔들리거나,부정,,
얄밉고,부정,,
얄밉다,부정,,
얌전하고,긍정,,
얌전하지 않아,부정,,
얌치없이,부정,,
얌치없이 태연하다,부정,,
양기가 부족하여,부정,,
양기가 허하여,부정,,
양득,긍정,,
양보하지 아니하다,부정,,
양보하지 않고,부정,,
양심에 거리끼어,부정,,
양심에 벗어나는,부정,,
양심을 속이다,부정,,
얕보다,부정,,
얕잡거나,부정,,
얕잡거나 업신여기다,부정,,
얕잡아,부정,,
얕잡아 보다,부정,,
얕잡아 봄,부정,,
어그러뜨리다,부정,,
어그러지고,부정,,
어그러지고 사나운,부정,,
어그러지다,부정,,
어긋나,부정,,
어긋나 나쁘다,부정,,
어긋나 있게,부정,,
어긋나 있다,부정,,
어긋나게,부정,,
어긋나고,부정,,
어긋나고 비뚤어져서,부정,,
어긋나는,부정,,
어긋나는 데가,부정,,
어긋나는 생각,부정,,
어긋나는 생각을,부정,,
어긋나다,부정,,
어긋나지 아니하게,긍정,,
어긋나지 아니하고,긍정,,
어긋나지 않고,긍정,,
어긋남에도 불구하고,부정,,
어긋남이 없는,긍정,,
어긋남이 없다,긍정,,
어긋남이 없이,긍정,,
어기다,부정,,
어두운 빛을,부정,,
어두운 상태,부정,,
어두침침하게,부정,,
어두침침하게 까무스름하다,부정,,
어두침침하고,부정,,
어두침침하고 쓸쓸하다,부정,,
어둑하다,부정,,
어둡거나,부정,,
어둡거나 험하여,부정,,
어둡고,부정,,
어둡고 침침하다,부정,,
어둡다,부정,,
어떤 두려움으로,부정,,
어떤 병이,부정,,
어떤 병이나,부정,,
어떤 약점을,부정,,
어려우며,부정,,
어려운,부정,,
어려운 고비를,부정,,
어려운 대목에서,부정,,
어려운 데가,부정,,
어려운 모양,부정,,
어려운 버릇,부정,,
어려운 병,부정,,
어려운 상태가,부정,,
어려운 상태이다,부정,,
어려운 상황을,부정,,
어려운 일에,부정,,
어려운 일을,부정,,
어려운 일이나,부정,,
어려운 지경에,부정,,
어려운 지경에서,부정,,
어려운 처지나,부정,,
어려운 처지에,부정,,
어려운 형편에,부정,,
어려울,부정,,
어려울 정도로,부정,,
어려움,부정,,
어려움 없이,긍정,,
어려움에,부정,,
어려움을 극복하다,긍정,,
어려워,부정,,
어려워서,부정,,
어려워서 애를 먹는,부정,,
어려워하는,부정,,
어려워하는 모양,부정,,
어려워하다,부정,,
어렴풋하다,부정,,
어렵거나,부정,,
어렵거나 곤란하게,부정,,
어렵거나 곤란하다,부정,,
어렵거나 부끄럽다,부정,,
어렵게,부정,,
어렵게 살아가는,부정,,
어렵게 여기다,부정,,
어렵게 힘들여,부정,,
어렵고,부정,,
어렵고 쪼들린,부정,,
어렵다,부정,,
어렵지 않게,긍정,,
어른 같은,긍정,,
어름어름,부정,,
어름어름 넘기는,부정,,
어름어름 넘기다,부정,,
어리둥절하여,부정,,
어리벙,부정,,
어리벙벙,부정,,
어리벙벙하게,부정,,
어리벙벙하다,부정,,
어리벙벙하여,부정,,
어리빙빙하다,부정,,
어리삥삥하다,부정,,
어리석게,부정,,
어리석게 구는,부정,,
어리석고,부정,,
어리석고 둔한,부정,,
어리석고 못된,부정,,
어리석다,부정,,
어리석어,부정,,
어리석어 보이는,부정,,
어리석어서,부정,,
어리석으며,부정,,
어리석은,부정,,
어리석은 데가,부정,,
어리석은 듯하다,부정,,
어리석은 말이나,부정,,
어리석은 사람,부정,,
어리석은 사람을,부정,,
어리석은 사람의,부정,,
어리석은 사람이라는,부정,,
어리석은 질문에,부정,,
어리석은 짓,부정,,
어리석은 행동,부정,,
어리석음,부정,,
어리숙하다,부정,,
어린아이가 영리하고,긍정,,
어물어물,부정,,
어물어물 망설이기만,부정,,
어물어물하다,부정,,
어색스럽다,부정,,
어색하거나,부정,,
어색하거나 거북하거나,부정,,
어색하고,부정,,
어색하고 부자연스럽게,부정,,
어색하고 쑥스럽다,부정,,
어색하다,부정,,
어색한,부정,,
어색한 느낌,부정,,
어색한 느낌이,부정,,
어색한 데가,부정,,
어설프게,부정,,
어설프고,부정,,
어설프다,부정,,
어설프며,부정,,
어설픈,부정,,
어설픈 데가,부정,,
어설픈 듯하다,부정,,
어설피,부정,,
어수룩하고,부정,,
어수룩하고 만만한,부정,,
어수룩한,부정,,
어수룩한 데가,부정,,
어수선하거나,부정,,
어수선하거나 다보록하다,부정,,
어수선하게,부정,,
어수선하게 들떠,부정,,
어수선하게 들뜨는,부정,,
어수선하게 떠드는,부정,,
어수선하게 떠들다,부정,,
어수선하게 생각함,부정,,
어수선하게 소란이,부정,,
어수선하게 움직이며,부정,,
어수선하게 이야기하다,부정,,
어수선하게 흩어져,부정,,
어수선하고,부정,,
어수선하고 소란스러운,부정,,
어수선하고 소란스러움,부정,,
어수선하고 소란스럽다,부정,,
어수선하고 소홀하게,부정,,
어수선하고 소홀하다,부정,,
어수선하고 엉성하다,부정,,
어수선하다,부정,,
어수선하여,부정,,
어수선한,부정,,
어수선한 모양,부정,,
어수선함,부정,,
어여뿌다,긍정,,
어여쁘다,긍정,,
어울려,긍정,,
어울리게,긍정,,
어울리게 알맞다,긍정,,
어울리고,긍정,,
어울리는,긍정,,
어울리다,긍정,,
어울리어,긍정,,
어울리어 친하다,긍정,,
어울리어 호화스럽다,긍정,,
어울리지 아니하고,부정,,
어울리지 아니한,부정,,
어울리지 않거나,부정,,
어울리지 않게,부정,,
어울리지 않고,부정,,
어울리지 않다,부정,,
어울리지 않아,부정,,
어울린 맛과 세련됨이 없이,부정,,
어이가 없거나,부정,,
어이없다,부정,,
어이없을,부정,,
어이없을 때,부정,,
어이없이,부정,,
어정쩡히,부정,,
어줍거나,부정,,
어줍잖다,부정,,
어중간한,부정,,
어중간한 모양,부정,,
어중간한 사람,부정,,
어중간한 태도,부정,,
어지간하게,긍정,,
어지간히 보잘것없고,부정,,
어지간히 시들어,부정,,
어지러우며,부정,,
어지러운,부정,,
어지러운 기운이,부정,,
어지러운 느낌,부정,,
어지러운 데가,부정,,
어지러운 모양,부정,,
어지러운 상태로,부정,,
어지러운 상태에,부정,,
어지러운 일을,부정,,
어지러운 자리,부정,,
어지러울 정도로,부정,,
어지러워,부정,,
어지러워 까무러칠,부정,,
어지러워서,부정,,
어지러워지는,부정,,
어지러워지는 모양,부정,,
어지럼증,부정,,
어지럽거나,부정,,
어지럽게,부정,,
어지럽게 늘어져,부정,,
어지럽게 뒤섞여,부정,,
어지럽게 일어나,부정,,
어지럽게 하는,부정,,
어지럽게 하다,부정,,
어지럽게 흔들거리는,부정,,
어지럽게 흔들거리다,부정,,
어지럽게 흩어져,부정,,
어지럽게 흩어지거나,부정,,
어지럽게 흩어지다,부정,,
어지럽고,부정,,
어지럽고 메스꺼워,부정,,
어지럽고 아프며,부정,,
어지럽다,부정,,
어지럽도록,부정,,
어지럽지 아니하다,긍정,,
어지르다,부정,,
어진,긍정,,
어진 마음으로,긍정,,
어진 사람,긍정,,
어진 선비를,긍정,,
어질고,긍정,,
어질고 지혜로우며,긍정,,
어질다,긍정,,
어집럽게 일어나거나,부정,,
어쭙잖다,부정,,
어찌할 바를 모르는,부정,,
어찌할 바를 모르다,부정,,
어찌할 바를 몰라,부정,,
어찌할 줄 몰라서,부정,,
어찌할 줄을 몰라,부정,,
어찔어찔하다,부정,,
어찔어찔한,부정,,
어찔어찔한 모양,부정,,
어처구니없는,부정,,
어처구니없는 짓,부정,,
어처구니없다,부정,,
어처구니없다고,부정,,
어처구니없이,부정,,
어필하다,긍정,,
억누루는 짓,부정,,
억누루는 짓을,부정,,
억누르거나,부정,,
억누르거나 참다,부정,,
억누르고,부정,,
억누르는,부정,,
억누르다,부정,,
억누름,부정,,
억눌러,부정,,
억눌러 못,부정,,
억눌리다,부정,,
억세다,부정,,
억세어,부정,,
억세지 아니하고,긍정,,
억압,부정,,
억압되다,부정,,
억울하거나,부정,,
억울하거나 원통하여,부정,,
억울하게,부정,,
억울하게 여겨,부정,,
억울하다,부정,,
억울하여,부정,,
억울한,부정,,
억울한 일을,부정,,
억울한 죄에,부정,,
억울함,부정,,
억제하며,부정,,
억지,부정,,
억지가,부정,,
억지가 세어서,부정,,
억지감,부정,,
억지로,부정,,
억지로 가로막아서,부정,,
억지로 나오게,부정,,
억지로 들이밀어,부정,,
억지로 만들다,부정,,
억지로 빼앗기,부정,,
억지로 빼앗다,부정,,
억지로 빼앗아,부정,,
억지로 쑤시고,부정,,
억지로 억누르다,부정,,
억지로 억누름,부정,,
억지로 억눌리다,부정,,
억지로 입다,부정,,
억지로 차지하다,부정,,
억지로 참거나,부정,,
억지로 참는,부정,,
억지로 하는,부정,,
억지를,부정,,
억지를 부리거나,부정,,
억지를 쓰며,부정,,
억지스러운,부정,,
억지스러운 느낌,부정,,
억지스럽다,부정,,
억척스럽고,중립,,
억척스럽고 세차다,부정,,
억척스럽다,부정,,
언짢거나,부정,,
언짢거나 못마땅하여,부정,,
언짢거나 못마땅하여서,부정,,
언짢거나 못마땅한,부정,,
언짢거나 불쾌한,부정,,
언짢거나 울려고,부정,,
언짢거나 징그럽다,부정,,
언짢게,부정,,
언짢게 되다,부정,,
언짢게 말썽을,부정,,
언짢고,부정,,
언짢고 가엾게,부정,,
언짢고 서운하게,부정,,
언짢고 아프다,부정,,
언짢다,부정,,
언짢아서,부정,,
언짢아서 성이,부정,,
언짢아서 어이없다,부정,,
언짢아지다,부정,,
언짢아하다,부정,,
언짢았던,부정,,
언짢았던 감정이,부정,,
언짢은,부정,,
언짢은 감정,부정,,
언짢은 기분,부정,,
언짢은 기분으로,부정,,
언짢은 기분이,부정,,
언짢은 기색이,부정,,
언짢은 느낌,부정,,
언짢은 느낌이,부정,,
언짢은 데가,부정,,
언짢은 마음에,부정,,
언짢은 생각이,부정,,
언짢은 일을,부정,,
언짢을,부정,,
언짢음,부정,,
언짢이,부정,,
언행이 옹골차고,긍정,,
언행이 의젓하고,긍정,,
언행이 허황하고,부정,,
얻는 은혜나,긍정,,
얻어 내다,긍정,,
얻어 냄,긍정,,
얻어맞을,부정,,
얻어맞을 때,부정,,
얻지 못하거나,부정,,
얻지 못하여,부정,,
얼굴빛이 누르렀다,부정,,
얼굴이 곱고,긍정,,
얼굴이 깨끗하여,긍정,,
얼굴이 꺼칠하고,부정,,
얼굴이 말쑥하고,긍정,,
얼굴이 붉으락푸르락하여지며,부정,,
얼굴이 붉으락푸르락해지며,부정,,
얼굴이 야위고,부정,,
얼굴이 창백하고,부정,,
얼굴이 창백하여지고,부정,,
얼기설기하다,부정,,
얼떨떨하다,부정,,
얼떨떨하여,부정,,
얼떨떨한,부정,,
얼떨떨한 정신,부정,,
얼떨떨해지다,부정,,
얼떨떨해하다,부정,,
얼렁뚱땅하는,부정,,
얼렁뚱땅하는 수단을,부정,,
얼렁뚱땅하여,부정,,
얼룩덜룩하게 된,부정,,
얼버무리다,부정,,
얼빠져,부정,,
얼빠져 보이는,부정,,
얼빠진,부정,,
얼빠진 사람처럼,부정,,
얼얼하다,부정,,
얼얼한,부정,,
얼이 빠지다,부정,,
얼이 빠짐,부정,,
얽매여서,부정,,
얽매이지 아니하고,긍정,,
얽은,부정,,
얽은 것이나,부정,,
얽은 자국이,부정,,
얽히거나,부정,,
엄격하게 나무라다,부정,,
엄격하여,부정,,
엄살을,부정,,
엄살을 부리는,부정,,
엄살을 부리며,부정,,
엄친아,긍정,,
엄하다,긍정,,
업귀,부정,,
업신여겨,부정,,
업신여겨 얕보다,부정,,
업신여겨 하찮게,부정,,
업신여겨지거나,부정,,
업신여기거나,부정,,
업신여기거나 하찮게,부정,,
업신여기고,부정,,
업신여기는,부정,,
업신여기는 모양,부정,,
업신여기는 태도로,부정,,
업신여기다,부정,,
업신여기어,부정,,
업신여기어지거나,부정,,
업신여기어지거나 하찮게,부정,,
업신여김,부정,,
업신여김을,부정,,
업신여김을 받음,부정,,
업적,긍정,,
업적을,긍정,,
업적이나,긍정,,
없거나 모자라서,부정,,
없고 멀건,부정,,
없고 편하게,긍정,,
없다,부정,,
없애 버리는,부정,,
없애 버리다,부정,,
없애 버림,부정,,
없애다,부정,,
없어서,부정,,
없어져,부정,,
없어지다,부정,,
없어진,부정,,
없어짐,부정,,
없으면서,부정,,
없음을,부정,,
없이 가볍게,부정,,
없이 멋쩍고,부정,,
없이 순수한,긍정,,
엇서며,부정,,
엇서며 대들다,부정,,
엉너리로,부정,,
엉뚱하게,부정,,
엉뚱하고,부정,,
엉뚱한,부정,,
엉뚱한 느낌을,부정,,
엉뚱한 욕심을,부정,,
엉뚱한 짓을,부정,,
엉성하고,부정,,
엉성하고 거친,부정,,
엉성하고 조잡하다,부정,,
엉성하다,부정,,
엉성한,부정,,
엉성한 모양,부정,,
엉성한 물건이,부정,,
엉큼하게,부정,,
엉큼하고,부정,,
엉큼한,부정,,
엉큼한 마음을,부정,,
엉터리,부정,,
엎어지게,부정,,
엎어지게 하다,부정,,
엎어지는,부정,,
엎어지는 모양,부정,,
에게 굽실거리다,부정,,
에게 굽실하다,부정,,
엘리트,긍정,,
엘리트하다,긍정,,
엘리트한,긍정,,
여겨 깔보다,부정,,
여겨져 무시당하다,부정,,
여겨져 언짢다,부정,,
여겨져 언짢은,부정,,
여기거나 즐기는,긍정,,
여기거나 즐기다,긍정,,
여기고 아끼다,긍정,,
여기고 아낌,긍정,,
여기어 탓하거나,부정,,
여리다,부정,,
여물지 아니한,부정,,
여병추,부정,,
여옥기인,긍정,,
여위거나,부정,,
여위게 된다,부정,,
여위게 하다,부정,,
여위고,부정,,
여위고 쇠약해지는,부정,,
여위어,부정,,
여위우다,부정,,
여윈,부정,,
여윈 모습을,부정,,
여윈 사람을,부정,,
여유,긍정,,
여유 없이,부정,,
여유 잇고,긍정,,
여유 있는,긍정,,
여유가 생기다,긍정,,
여유가 없다,부정,,
여유가 없어,부정,,
여유가 없이,부정,,
여유가 있게,긍정,,
여유가 있다,긍정,,
여유로운,긍정,,
여유로운 모양,긍정,,
여유롭다,긍정,,
여유를,긍정,,
여유를 두고,긍정,,
여자를 속되게,부정,,
여자를 욕하여,부정,,
역겹다,부정,,
역겹도록,부정,,
역겹도록 구리게,부정,,
역경,부정,,
역사적인,중립,,
역전패,부정,,
역전패하다,부정,,
역전하다,긍정,,
역정,부정,,
역정을,부정,,
역정을 내는,부정,,
역정이,부정,,
역정이 나거나,부정,,
역증,부정,,
역투하다,긍정,,
역한,부정,,
역한 냄새가,부정,,
연덕,부정,,
연민,부정,,
연민스럽다,부정,,
연민이나,부정,,
연민이나 쓰라림,부정,,
연민하다,부정,,
연애,긍정,,
연애를,긍정,,
연애를 하거나,긍정,,
연약하게 되다,부정,,
연줄이 끊어져,부정,,
연하게,긍정,,
연하고,긍정,,
연하고 보드라운,긍정,,
연하고 보드랍다,긍정,,
연하고 부드러운,긍정,,
열공,긍정,,
열광,긍정,,
열광하다,긍정,,
열렬한 사랑,긍정,,
열렬히,긍정,,
열렬히 좋아하는,긍정,,
열매를 맺다,긍정,,
열받다,부정,,
열병이나,부정,,
열성병,부정,,
열성이,긍정,,
열성이 생겨,긍정,,
열심히,긍정,,
열심히 하는,긍정,,
열심히 하지 아니하는,부정,,
열심히 하지 아니하다,부정,,
열없다,부정,,
열없이,부정,,
열이 나고,부정,,
열이 나는,부정,,
열이 나며,부정,,
열이 높고,부정,,
열이 높아지는,부정,,
열이 심하거나,부정,,
열이 심하게,부정,,
열이 심하게 나고,부정,,
열이 자꾸 나며,부정,,
열정,긍정,,
열중하는,긍정,,
열중하는 마음,긍정,,
열중하다,긍정,,
열증,부정,,
열폭,부정,,
